TraderId,TraderName
1,HF1
2,TF1
3,VI1
4,HF2
5,TF2
6,VI2
7,HF3
8,TF3
9,VI3
10,HF4
11,TF4
12,VI4
13,HF5
14,TF5
15,VI5
16,HF6
17,TF6
18,VI6
19,HF7
20,TF7
21,VI7
22,HF8
23,TF8
24,VI8
25,HF9
26,TF9
27,VI9
28,HF10
29,TF10
30,VI10
31,HF11
32,TF11
33,VI11
34,HF12
35,TF12
36,VI12
37,HF13
38,TF13
39,VI13
40,HF14
41,TF14
42,VI14
43,HF15
44,TF15
45,VI15
46,HF16
47,TF16
48,VI16
49,HF17
50,TF17
51,VI17
52,HF18
53,TF18
54,VI18
55,HF19
56,TF19
57,VI19
58,HF20
59,TF20
60,VI20
61,HF21
62,TF21
63,VI21
64,HF22
65,TF22
66,VI22
67,HF23
68,TF23
69,VI23
70,HF24
71,TF24
72,VI24
73,HF25
74,TF25
75,VI25
76,HF26
77,TF26
78,VI26
79,HF27
80,TF27
81,VI27
82,HF28
83,TF28
84,VI28
85,HF29
86,TF29
87,VI29
88,HF30
89,TF30
90,VI30
91,HF31
92,TF31
93,VI31
94,HF32
95,TF32
96,VI32
97,HF33
98,TF33
99,VI33
100,HF34
101,TF34
102,VI34
103,HF35
104,TF35
105,VI35
106,HF36
107,TF36
108,VI36
109,HF37
110,TF37
111,VI37
112,HF38
113,TF38
114,VI38
115,HF39
116,TF39
117,VI39
118,HF40
119,TF40
120,VI40
121,HF41
122,TF41
123,VI41
124,HF42
125,TF42
126,VI42
127,HF43
128,TF43
129,VI43
130,HF44
131,TF44
132,VI44
133,HF45
134,TF45
135,VI45
136,HF46
137,TF46
138,VI46
139,HF47
140,TF47
141,VI47
142,HF48
143,TF48
144,VI48
145,HF49
146,TF49
147,VI49
148,HF50
149,TF50
150,VI50
151,HF51
152,TF51
153,VI51
154,HF52
155,TF52
156,VI52
157,HF53
158,TF53
159,VI53
160,HF54
161,TF54
162,VI54
163,HF55
164,TF55
165,VI55
166,HF56
167,TF56
168,VI56
169,HF57
170,TF57
171,VI57
172,HF58
173,TF58
174,VI58
175,HF59
176,TF59
177,VI59
178,HF60
179,TF60
180,VI60
181,HF61
182,TF61
183,VI61
184,HF62
185,TF62
186,VI62
187,HF63
188,TF63
189,VI63
190,HF64
191,TF64
192,VI64
193,HF65
194,TF65
195,VI65
196,HF66
197,TF66
198,VI66
199,HF67
200,TF67
201,VI67
202,HF68
203,TF68
204,VI68
205,HF69
206,TF69
207,VI69
208,HF70
209,TF70
210,VI70
211,HF71
212,TF71
213,VI71
214,HF72
215,TF72
216,VI72
217,HF73
218,TF73
219,VI73
220,HF74
221,TF74
222,VI74
223,HF75
224,TF75
225,VI75
226,HF76
227,TF76
228,VI76
229,HF77
230,TF77
231,VI77
232,HF78
233,TF78
234,VI78
235,HF79
236,TF79
237,VI79
238,HF80
239,TF80
240,VI80
241,HF81
242,TF81
243,VI81
244,HF82
245,TF82
246,VI82
247,HF83
248,TF83
249,VI83
250,HF84
251,TF84
252,VI84
253,HF85
254,TF85
255,VI85
256,HF86
257,TF86
258,VI86
259,HF87
260,TF87
261,VI87
262,HF88
263,TF88
264,VI88
265,HF89
266,TF89
267,VI89
268,HF90
269,TF90
270,VI90
271,HF91
272,TF91
273,VI91
274,HF92
275,TF92
276,VI92
277,HF93
278,TF93
279,VI93
280,HF94
281,TF94
282,VI94
283,HF95
284,TF95
285,VI95
286,HF96
287,TF96
288,VI96
289,HF97
290,TF97
291,VI97
292,HF98
293,TF98
294,VI98
295,HF99
296,TF99
297,VI99
298,HF100
299,TF100
300,VI100
